"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"UFO: A UniFied TransfOrmer for Vision-Language Representation Learning","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"FILIP: Fine-grained Interactive Language-Image Pre-Training","0","3","3","2","0","2","10","4","QP1,QP5,QP6,QP7"
"KD-VLP: Improving End-to-End Vision-and-Language Pretraining with Object Knowledge Distillation","0","2","2","2","0","1","7","5","QP1,QP5,QP6,QP7,QS2"
"EfficientCLIP: Efficient Cross-Modal Pre-training by Ensemble Confident Learning and Language Modeling","2","2","2","2","0","1","9","5","QP1,QP3,QP6,QP7,QS3"
"ROSITA: Enhancing Vision-and-Language Semantic Alignments via Cross- and Intra-modal Knowledge Integration","0","3","3","2","1","2","11","7","QP1,QP2,QP5,QP6,QP7,QS1,QS2"
"Align before Fuse: Vision and Language Representation Learning with Momentum Distillation","2","3","3","2","1","2","13","7","QP1,QP3,QP5,QP6,QP7,QS1,QS2"
"E2E-VLP: End-to-End Vision-Language Pre-training Enhanced by Visual Learning","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"Seeing Out of tHe bOx: End-to-End Pre-training for Vision-Language Representation Learning","0","3","3","2","1","2","11","6","QP1,QP5,QP6,QP7,QS1,QS2"
"UC2: Universal Cross-lingual Cross-modal Vision-and-Language Pre-training","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QS2"
"SemVLP: Vision-Language Pre-training by Aligning Semantics at Multiple Levels","0","2","2","2","0","1","7","5","QP1,QP5,QP6,QP7,QS2"
"WenLan: Bridging Vision and Language by Large-Scale Multi-Modal Pre-Training","0","2","2","2","0","1","7","3","QP1,QP6,QP7"
"Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision","1","3","3","2","0","2","11","3","QP1,QP6,QP7"
"MiniVLM: A Smaller and Faster Vision-Language Model","1","2","2","2","0","1","8","5","QP1,QP3,QP6,QP7,QS2"
"Beyond the Deep Metric Learning: Enhance the Cross-Modal Matching with Adversarial Discriminative Domain Regularization","1","2","2","2","0","1","8","4","QP1,QP6,QP7,QS2"
"ERNIE-ViL: Knowledge Enhanced Vision-Language Representations Through Scene Graph","0","2","2","2","0","1","7","5","QP1,QP2,QP6,QP7,QS2"
"Behind the Scene: Revealing the Secrets of Pre-trained Vision-and-Language Models","0","3","3","2","1","2","11","7","QP1,QP2,QP5,QP6,QP7,QS1,QS2"
"A Novel Attention-based Aggregation Function to Combine Vision and Language","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"Oscar: Object-Semantics Aligned Pre-training for Vision-Language Tasks","0","3","3","2","1","2","11","6","QP1,QP5,QP6,QP7,QS1,QS2"
"Distilled Dual-Encoder Model for Vision-Language Understanding","0","2","2","1","0","1","6","3","QP1,QP6,QP7"
"Self-Supervised Image-to-Text and Text-to-Image Synthesis","1","1","1","1","0","1","5","5","QP1,QP6,QP7,QS1,QS2"
"L-Verse: Bidirectional Generation Between Image and Text","0","2","2","2","1","1","8","5","QP1,QP6,QP7,QS1,QS2"
"TCIC: Theme Concepts Learning Cross Language and Vision for Image Captioning","0","2","2","2","0","1","7","4","QP1,QP2,QP6,QS2"
"DashCLIP: Leveraging multimodal models for generating semantic embeddings for DoorDash","0","1","2","1","0","1","5","4","QP1,QP5,QP6,QP7"
"The Power of One: A Single Example is All it Takes for Segmentation in VLMs","2","2","3","2","0","2","11","5","QP1,QP5,QP6,QS2,QS3"
